"Locations for Potential Risk
නායයෑමේ අවදානම පැවතිය හැකි ප්‍රමේශ fdjpahd mghaKs;s ,lq;fs;",,,
District,,,
,Level 1 (Yellow),Level 2 (Amber),Level 3 (Red)
,,,
Galle,"Nagoda
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
Hambantota,,,"Walasmulla
Divisional Secretariat
Division(s) (DSD) and
surrounding areas."
Kandy,"Pasbage Korale,
Udunuwara,
Delthota,
Udapalatha and
Doluwa
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.","Ganga Ihala Korale and
Medadumbara
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",
Kegalle,"Deraniyagala and
Dehiowita
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,"Aranayaka and
Yatiyanthota
Divisional Secretariat
Division(s) (DSD) and
surrounding areas."
Matale,,"Ukuwela
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",
Matara,"Mulatiyana and
Athuraliya
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,"Pasgoda
Divisional Secretariat
Division(s) (DSD) and
surrounding areas."
Nuwara Eliya,"Nuwara Eliya
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,"Ambagamuwa and
Kotmale
Divisional Secretariat
Division(s) (DSD) and
surrounding areas."
Ratnapura,"Balangoda
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.","Pelmadulla,
Eheliyagoda,
Elapatha and
Ratnapura
Divisional Secretariat","Nivithigala,
Kuruwita,
Kalawana,
Imbulpe and
Kahawatta
Divisional Secretariat"
