"Locations for Potential Risk
නායයෑමේ අවදානම පැවතිය හැකි ප්‍රමේශ fdjpahd mghaKs;s ,lq;fs;",,,
District,,,
,Level 1 (Yellow),Level 2 (Amber),Level 3 (Red)
,,,
Badulla,"Badulla,
* Ella,
Soranathota,
* Meegahakiwula,
Kandeketiya and
Hali Ela
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.","Lunugala and
Passara
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",
Galle,"* Nagoda
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
Kandy,"* Pasbage Korale and
Pathahewaheta
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,"Ududumbara
Divisional Secretariat
Division(s) (DSD) and
surrounding areas."
Matara,"* Pitabeddara
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
Monaragala,,"Medagama
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",
Nuwara Eliya,"Walapane and
Hanguranketha
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
"Note: ↑shifted one level up, ↑↑shifted two levels up, ↓shifted one level down, ↓↓shifted two levels down.",,,
*newly added with the last update,,,
Special Note: These warning levels are issued based on the cumulative rainfall received to respective areas,,,
and given weather forecast by meteorological department of Sri Lanka,,,
