"Locations for Potential Risk
නායයෑමේ අවදානම පැවතිය හැකි ප්‍රමේශ fdjpahd mghaKs;s ,lq;fs;",,,
District,,,
,Level 1 (Yellow),Level 2 (Amber),Level 3 (Red)
,,,
Badulla,"Haldummulla,
* Passara and
* Hali Ela
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
Kandy,"* Pathadumbara and
* Thumpane
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
Kegalle,"Deraniyagala,
Dehiowita,
Galigamuwa,
* Rambukkana,
Bulathkohupitiya,
Warakapola,
Aranayake,
Yatiyanthota,
Ruwanwella and
Kegalle
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
Kurunegala,"* Mawathagama
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
Nuwara Eliya,"* Walapane
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
Ratnapura,"Eheliyagoda,
Kuruwita and
Ratnapura
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
"Note: ↑shifted one level up, ↑↑shifted two levels up, ↓shifted one level down, ↓↓shifted two levels down.",,,
*newly added with the last update,,,
Special Note: These warning levels are issued based on the cumulative rainfall received to respective areas,,,
and given weather forecast by meteorological department of Sri Lanka,,,
