"නායයෑපම් අවදානම ෙවැ තිය හැකි ප්‍රපේශ
fdjpahd mghaKs;s ,lq;fs; Locations for Potential Risk",,,
District,,,
,Level 1 (Yellow),Level 2 (Amber),Level 3 (Red)
,,,
Gampaha,"Attanagalla
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
Kegalle,"Bulathkohupitiya
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.","↑ Dehiowita,
Yatiyanthota and
Ruwanwella
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",
Kurunegala,"Rideegama and
Mawathagama
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
Matale,"Ambanganga Korale
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
Matara,"Kotapola,
Pasgoda and
Welipitiya
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
"Note: ↑shifted one level up, ↑↑shifted two levels up, ↓shifted one level down, ↓↓shifted two levels down.",,,
*newly added with the last update,,,
Special Note: These warning levels are issued based on the cumulative rainfall received to respective areas,,,
and given weather forecast by meteorological department of Sri Lanka,,,
