"Locations for Potential Risk
නායයෑපම් අවදානම ෙැවතිය හැකි ප්‍රපේශ fdjpahd mghaKs;s ,lq;fs;",,,
District,,,
,Level 1 (Yellow),Level 2 (Amber),Level 3 (Red)
,,,
Galle,"Neluwa
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
Gampaha,"Attanagalla
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
Kandy,"Udunuwara,
* Delthota and
* Doluwa
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
Kegalle,"Yatiyanthota,
* Ruwanwella and
Rambukkana
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
Kurunegala,"Rideegama and
Alawwa
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
Matale,"* Rattota,
* Yatawatta,
* Ukuwela,
Ambanganga Korale and
Pallepola
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
Moneragala,"Medagama
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
Nuwara Eliya,"Hanguranketha and
Ambagamuwa
Divisional Secretariat",,
