date_str	description	doc_id	doc_type	lang	num	time_str	url_metadata	url_pdf	ut
2026-09-15	Landslide EW Report	2026-09-15-10-00-landslide-ew-report	lk_dmc_landslide_warnings	und	10-00-landslide-ew-report	10:00	https://www.dmc.gov.lk/index.php?option=com_dmcreports&view=reports&Itemid=276&report_type_id=5&lang=en&limitstart=0	https://www.dmc.gov.lk/images/dmcreports/Landslide_EW_Report_at_1000hrs_on_2026__1789448963.pdf	1789446600
2026-08-09	Landslide EW Report	2026-08-09-09-30-landslide-ew-report	lk_dmc_landslide_warnings	und	09-30-landslide-ew-report	09:30	https://www.dmc.gov.lk/index.php?option=com_dmcreports&view=reports&Itemid=276&report_type_id=5&lang=en&limitstart=0	https://www.dmc.gov.lk/images/dmcreports/Landslide_EW_Report_at_0900hrs_on_2026__1786251019.pdf	1786248000
2026-08-08	Landslide EW Report	2026-08-08-09-00-landslide-ew-report	lk_dmc_landslide_warnings	und	09-00-landslide-ew-report	09:00	https://www.dmc.gov.lk/index.php?option=com_dmcreports&view=reports&Itemid=276&report_type_id=5&lang=en&limitstart=0	https://www.dmc.gov.lk/images/dmcreports/Landslide_EW_Report_at_0900hrs_on_2026__1786161107.pdf	1786159800
2026-08-07	Landslide EW Report	2026-08-07-09-00-landslide-ew-report	lk_dmc_landslide_warnings	und	09-00-landslide-ew-report	09:00	https://www.dmc.gov.lk/index.php?option=com_dmcreports&view=reports&Itemid=276&report_type_id=5&lang=en&limitstart=0	https://www.dmc.gov.lk/images/dmcreports/Landslide_EW_Report_at_0900hrs_on_2026__1786075964.pdf	1786073400
2026-08-06	Landslide EW Report	2026-08-06-09-00-landslide-ew-report	lk_dmc_landslide_warnings	und	09-00-landslide-ew-report	09:00	https://www.dmc.gov.lk/index.php?option=com_dmcreports&view=reports&Itemid=276&report_type_id=5&lang=en&limitstart=0	https://www.dmc.gov.lk/images/dmcreports/Landslide_EW_Report_at_0900hrs_on_2026__1785988143.pdf	1785987000
2026-08-05	Landslide EW Report	2026-08-05-09-00-landslide-ew-report	lk_dmc_landslide_warnings	und	09-00-landslide-ew-report	09:00	https://www.dmc.gov.lk/index.php?option=com_dmcreports&view=reports&Itemid=276&report_type_id=5&lang=en&limitstart=0	https://www.dmc.gov.lk/images/dmcreports/Landslide_EW_Report_at_09__1785902381.pdf	1785900600
2026-08-04	Landslide Ew Report	2026-08-04-09-00-landslide-ew-report	lk_dmc_landslide_warnings	und	09-00-landslide-ew-report	09:00	https://www.dmc.gov.lk/index.php?option=com_dmcreports&view=reports&Itemid=276&report_type_id=5&lang=en&limitstart=0	https://www.dmc.gov.lk/images/dmcreports/Landslide_EW_Report_at_09__1785816590.pdf	1785814200
2026-08-03	Landslide Ew Report	2026-08-03-12-00-landslide-ew-report	lk_dmc_landslide_warnings	und	12-00-landslide-ew-report	12:00	https://www.dmc.gov.lk/index.php?option=com_dmcreports&view=reports&Itemid=276&report_type_id=5&lang=en&limitstart=0	https://www.dmc.gov.lk/images/dmcreports/Landslide_EW_Report_at_12__1785742696.pdf	1785738600
2026-08-03	Landslide Ew Report	2026-08-03-09-00-landslide-ew-report	lk_dmc_landslide_warnings	und	09-00-landslide-ew-report	09:00	https://www.dmc.gov.lk/index.php?option=com_dmcreports&view=reports&Itemid=276&report_type_id=5&lang=en&limitstart=0	https://www.dmc.gov.lk/images/dmcreports/Landslide_EW_Report_at_09__1785729374.pdf	1785727800
2026-08-02	Landslide Early warning	2026-08-02-23-50-landslide-early-warning	lk_dmc_landslide_warnings	und	23-50-landslide-early-warning	23:50	https://www.dmc.gov.lk/index.php?option=com_dmcreports&view=reports&Itemid=276&report_type_id=5&lang=en&limitstart=0	https://www.dmc.gov.lk/images/dmcreports/Landslide_EW_Report_at_2350hrs_on_2026__1785696011.pdf	1785694800
2026-06-13	Landslide Warning	2026-06-13-16-00-landslide-warning	lk_dmc_landslide_warnings	und	16-00-landslide-warning	16:00	https://www.dmc.gov.lk/index.php?option=com_dmcreports&view=reports&Itemid=276&report_type_id=5&lang=en&limitstart=10	https://www.dmc.gov.lk/images/dmcreports/Landslide_Early_warning_report_at_1600hrs_on_13__1781348112.pdf	1781346600
2026-06-13	Landslide Early warning	2026-06-13-16-00-landslide-early-warning	lk_dmc_landslide_warnings	und	16-00-landslide-early-warning	16:00	https://www.dmc.gov.lk/index.php?option=com_dmcreports&view=reports&Itemid=276&report_type_id=5&lang=en&limitstart=0	https://www.dmc.gov.lk/images/dmcreports/Landslide_Early_warning_report_at_1600hrs_on_13__1781348104.pdf	1781346600
2026-06-12	Landslide warning	2026-06-12-16-00-landslide-warning	lk_dmc_landslide_warnings	und	16-00-landslide-warning	16:00	https://www.dmc.gov.lk/index.php?option=com_dmcreports&view=reports&Itemid=276&report_type_id=5&lang=en&limitstart=10	https://www.dmc.gov.lk/images/dmcreports/Landslide_Early_warning_report_at_1600hrs_on_12__1781261099.pdf	1781260200
2026-06-12	Landslide Early Warning	2026-06-12-04-00-landslide-early-warning	lk_dmc_landslide_warnings	und	04-00-landslide-early-warning	04:00	https://www.dmc.gov.lk/index.php?option=com_dmcreports&view=reports&Itemid=276&report_type_id=5&lang=en&limitstart=10	https://www.dmc.gov.lk/images/dmcreports/Landslide_Early_warning_report_at_0400hrs_on_12__1781221492.pdf	1781217000
2026-05-29	Landslide Early Warning	2026-05-29-16-00-landslide-early-warning	lk_dmc_landslide_warnings	und	16-00-landslide-early-warning	16:00	https://www.dmc.gov.lk/index.php?option=com_dmcreports&view=reports&Itemid=276&report_type_id=5&lang=en&limitstart=10	https://www.dmc.gov.lk/images/dmcreports/Landslide_Early_Warning_at_1600hrs_on_29__1780052116.pdf	1780050600
