River,Gauging Station,,,,,,,"Water
Level
before
1hr","Water
Level at
6.00 pm",Remarks,"Water
Level
Rising or
Falling","Rainfall
last 9
hours
(mm)"
,Station,Cordinate,"Catchment
Area (km2)",Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
"Kelani
Ganga
(RB 01)",N' Street,"6° 57' 35'' N
79° 52'",2085,ft,4.00,5.00,7.00,4.90,5.00,Flood,Rising,
,Hanwella,"6° 54' 39.38'' N
80° 05'",1782,m,7.00,8.00,10.00,8.01,8.06,Flood,Rising,16.4
,Glencourse,"6° 58' 25'' N
80° 11' 3''",1463,m,15.00,16.50,19.00,17.30,17.43,Flood,Rising,46.0
,Holombuwa,"7° 11' 6.6'' N
80° 15'",155,m,3.00,3.40,5.00,5.28,5.67,Flood,Rising,68.0
,Deraniyagala,"6° 55' 23.23'' N
80° 20'",183,m,4.80,5.80,6.40,5.92,5.71,Alert,Falling,118.5
,Kitulgala,"6° 59' 25'' N
80° 24'",383,m,2.00,3.00,5.00,2.98,2.43,Alert,Falling,77.7
,Norwood,"6° 50' 8.32'' N
80° 36'",97,m,1.50,2.00,2.15,2.43,2.38,Flood,Falling,40.8
"Kalu Ganga
(RB 03)",Ratnapura,"6° 40' 43.2'' N
80° 23'",603,m,5.20,7.50,9.50,8.82,8.88,Flood,Rising,78.9
,Ellagawa,"6° 43' 54'' N
80° 13'",1393,m,10.00,10.70,12.20,10.17,,,,
,Millakanda,"6° 37' 50.3'' N
80° 9'",780,m,5.00,6.50,8.00,8.62,8.75,Flood,Rising,11.0
,Putupaula,"6° 36' 51.9'' N
80° 3'",2598,m,3.00,4.00,5.00,3.34,3.38,Alert,Rising,2.0
"Gin Ganga
(RB 09)",Tawalama,"6° 20' 33.3'' N
80° 19'",377,m,4.25,4.50,6.10,5.19,5.07,Flood,Falling,25.6
,Baddegama,"6° 10' 25'' N
80° 10'",749,m,3.50,4.00,5.00,4.17,4.19,Flood,Rising,9.0
"Nilwala
Ganga
(RB 12)",Pitabeddara,"6° 12' 48.2'' N
80° 28'",310,m,3.00,4.00,5.00,2.45,2.52,Normal,,19.9
,Panadugama,"6° 08' 00'' N
80° 29'",445,m,5.00,6.00,6.50,6.60,6.55,Flood,Falling,0.0
,Urawa,"6° 14' 11.8'' N
80° 34'",59,m,2.50,3.00,4.00,,,,,
"Mahaweli
Ganga
(RB 60)",Peradeniya,"7° 16' 3'' N
80° 36' 30''",1168,m,5.00,7.00,9.00,8.10,8.11,Flood,Rising,79.4
,Nawalapitiya,"7° 2' 55'' N
80° 32' 3'' E",176,m,3.00,4.00,4.50,4.99,4.89,Flood,Falling,90.1
"Maha Oya
(RB 102)",Badalgama,"7° 18' 3.3'' N
79° 58'",1360,ft,1.00,5.00,16.00,7.60,7.80,Flood,Rising,16.8
,Giriulla,"7° 19' 30'' N
80° 6'",1192,m,5.00,6.00,6.50,6.50,6.93,Flood,Rising,40.7
"Attanagalu
Oya (RB 103)",Dunamale,"7° 7' 0'' N
80° 4' 54.5''",153,m,3.30,4.40,5.50,5.40,5.38,Flood,Falling,32.7
