River Basin,Tributory/River,Gauging Station,,,,,,,"Water
Level at
2:00 pm","Water
Level at
3:00 pm",Remarks,"Water
6
Level
Rising or
Falling","Hr RF in
mm at 3:00
pm",,
,,Station,Cordinate,"Catchment
Area (km2)",Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,"6° 57' 35'' N
79° 52' 36.6'' E",2085,ft,4.00,5.00,7.00,5.10,5.15,Minor Flood,Rising,-,,
,Kelani Ganga,Hanwella,"6° 54' 39.38'' N
80° 05' 3.16'' E",1782,m,7.00,8.00,10.00,7.50,7.43,Alert,Falling,7.7,,
,Kelani Ganga,Glencourse,"6° 58' 25'' N
80° 11' 3'' E",1463,m,15.00,16.50,19.00,14.06,13.92,Normal,,8.6,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,"6° 59' 25'' N
80° 24' 50'' E",383,m,3.00,4.00,6.00,2.15,2.05,Normal,,15.6,,
,Gurugoda Oya,Holombuwa,"7° 11' 6.6'' N
80° 15' 53.3'' E",155,m,3.00,3.40,5.00,1.88,1.89,Normal,,22.9,,
,Seethawaka Ganga,Deraniyagala,"6° 55' 23.23'' N
80° 20' 20.3'' E",183,m,4.80,5.80,6.40,1.92,2.16,Normal,,11,.8,
,Kehelgamu Oya,Norwood,"6° 50' 8.32'' N
80° 36' 52.75'' E",97,m,1.50,3.00,4.50,1.00,1.00,Normal,,4.8,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,"6° 36' 51.9'' N
80° 3' 44.2'' E",2598,m,3.00,4.00,5.00,3.47,3.50,Alert,Rising,0.3,,
,Kalu Ganga,Ellagawa,"6° 43' 54'' N
80° 13' 4.2'' E",1393,m,10.00,10.70,12.20,9.95,9.98,Normal,,7.9,,
,Kalu Ganga,Ratnapura,"6° 40' 43.2'' N
80° 23' 49.8'' E",603,m,5.20,7.50,9.50,6.72,6.66,Alert,Falling,6.2,,
,Maguru Ganga,Magura,"6° 30' 49'' N
80° 14' 36'' E",152,m,4.00,6.00,7.50,5.67,5.62,Alert,Falling,0.0,,
,Kuda Ganga,"Kalawellawa
(Millakanda)","6° 37' 50.3'' N
80° 9' 37.7'' E",780,m,5.00,6.50,8.00,8.56,8.60,Major Flood,Rising,4.0,,
Gin Ganga,Gin Ganga,Tawalama,"6° 20' 33.3'' N
80° 19' 55.2'' E",377,m,4.00,6.00,7.50,3.76,3.79,Normal,,5.4,,
(RB 09),Gin Ganga,Baddegama,"6° 10' 25'' N
80° 10' 33.1'' E",749,m,3.50,4.00,5.00,4.40,4.42,Minor Flood,Rising,3.1,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,"6° 00' 40'' N
80° 31' 35'' E",852,m,1.40,1.70,2.80,1.96,1.97,Minor Flood,Rising,0.0,,
,Nilwala Ganga,Panadugama,"6° 08' 00'' N
80° 29' 00'' E",445,m,5.00,6.00,7.50,6.69,6.66,Minor Flood,Falling,2.1,,
,Nilwala Ganga,Pitabeddara,"6° 12' 48.2'' N
80° 28' 34.5'' E",310,m,4.00,5.00,6.50,2.37,2.33,Normal,,2.0,,
,Urubokka Ganga,Urawa,"6° 14' 11.8'' N
80° 34' 18'' E",59,m,2.50,4.00,6.00,1.28,1.26,Normal,,0.5,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,"7° 7' 0'' N
80° 4' 54.5'' E",153,m,3.30,4.40,5.50,5.26,5.23,Minor Flood,Falling,4.3,,
