River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 pm","Water
Level at
3:00 pm",Remarks,"Water Level
Rising or
Falling","6 Hr RF in
mm at 3:00
pm",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.20,2.60,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.71,3.21,Normal,,3.0,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,13.30,13.64,Normal,,17.4,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,6.25,5.39,Minor Flood,Falling,92.,,,5
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.97,1.97,Normal,,11.1,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,6.10,6.30,Minor Flood,Rising,,34.6,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,2.32,2.40,Alert,Rising,6,,4.3,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.13,1.25,Normal,,0.8,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.18,7.32,Normal,,,40.9,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,7.52,8.05,Minor Flood,Rising,6,,0.6,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.30,4.30,Alert,,7.1,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.56,4.70,Normal,,0.8,,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.99,3.04,Normal,,14.0,,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.75,2.86,Normal,,14.0,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.29,1.33,Normal,,,33.2,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.71,6.87,Minor Flood,Rising,,44.1,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,5.85,5.93,Minor Flood,Rising,151.8,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,3.12,3.28,Alert,Rising,134.8,,,
Mahaweli Ganga,Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,6.60,7.66,Minor Flood,Rising,,33.6,,
(RB 60),Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,7.82,8.08,Major Flood,Rising,142.5,,,
