River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
9:00 am"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.20,2.90,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.72,5.52,Normal,,9.7
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,13.03,12.71,Normal,,22.5
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.18,2.20,Normal,,125.2
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.94,1.00,Normal,,20.4
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.43,1.41,Normal,,49.2
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.33,1.30,Normal,,104.9
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.93,1.94,Normal,,0.8
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.52,8.57,Normal,,50.8
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,8.16,8.06,Minor Flood,Falling,68.0
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.02,2.94,Normal,,7.1
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.73,5.77,Alert,Rising,5.6
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.43,2.41,Normal,,21.2
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.31,3.31,Normal,,19.2
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.71,1.72,Minor Flood,Rising,36.2
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.95,6.90,Minor Flood,Falling,53.6
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.22,2.09,Normal,,151.8
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.05,0.99,Normal,,141.1
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,1.25,1.22,Normal,,4.8
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.24,0.23,Normal,,9.7
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.66,0.66,Normal,,0.0
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.16,1.16,Normal,,6.6
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.17,-0.18,Normal,,10.5
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.02,1.01,Normal,,15.4
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.35,0.35,Normal,,2.9
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.26,0.26,Normal,,4.6
,,Manampitiya ( Old),m,3.50,5.00,6.00,-0.89,-0.83,Normal,,0.0
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,0.25,0.31,Normal,,0.0
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.87,-2.89,Normal,,13.4
Mahaweli Ganga,Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,4.99,4.90,Normal,,58.9
(RB 60),Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,-,2.45,Normal,,193.0
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.49,0.47,Normal,,4.9
,Agra Oya,Calidonia,m,3.00,3.50,4.50,1.66,1.68,Normal,,85.1
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.64,1.63,Normal,,0.0
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.35,0.34,Normal,,0.0
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,0.83,0.82,Normal,,0.0
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.02,0.02,Normal,,3.0
"Deduru Oya
(RB 99)",Deduru Oya,Ridi bendi Ella (Dam),m,3.30,4.20,4.70,1.08,1.09,Normal,,17.2
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.58,3.45,Normal,,7.4
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.15,2.03,Normal,,12.8
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,0.74,0.73,Normal,,5.0
