River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 pm","Water
Level at
9:00 pm",Remarks,"Water
Level
Rising or
Falling","12 Hr RF
in mm at
9:00 pm",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.10,2.00,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.36,4.32,Normal,,8.0,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.54,12.56,Normal,,,14.1,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.87,2.98,Normal,,24,,.1,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.35,1.36,Normal,,,15.7,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,2.26,2.26,Normal,,,11.5,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.50,1.58,Alert,Rising,25,,.9,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.66,2.66,Normal,,0.5,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,9.31,9.30,Normal,,5.8,,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,5.19,5.25,Alert,Rising,,13.5,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.35,2.27,Normal,,0.0,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.68,5.65,Alert,Falling,0.0,,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.22,2.23,Normal,,3.3,,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.51,2.49,Normal,,0.0,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.94,1.93,Minor Flood,Falling,0.0,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.98,4.97,Normal,,0.7,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.35,1.35,Normal,,0.7,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.68,0.67,Normal,,7.0,,,
Mahaweli Ganga,Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,6.50,6.40,Alert,Falling,30.1,,,
(RB 60),Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,3.20,3.25,Normal,,46.4,,,
