River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 pm","Water
Level at
6:00 pm",Remarks,"Water Level 9
Rising or m
Falling","Hr RF in
m at 6:00
pm",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.80,2.95,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.05,3.26,Normal,,27.1,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.40,12.91,Normal,,46.3,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.17,2.09,Normal,,26.8,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.00,1.32,Normal,,44.5,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,3.56,3.01,Normal,,80.1,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.19,1.17,Normal,,12.3,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.48,1.58,Normal,,17.6,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.65,7.82,Normal,,87.6,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,6.83,6.88,Alert,Rising,132.6,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,5.35,5.45,Alert,Rising,121.5,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.25,5.35,Alert,Rising,55.1,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,4.29,4.64,Alert,Rising,93.5,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.96,3.01,Normal,,105.3,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.96,0.98,Normal,,12.1,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.47,4.64,Normal,,76.0,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.85,1.95,Normal,,65.6,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.18,1.18,Normal,,37.9,,
