River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 pm","Water
Level at
9:00 pm",Remarks,"Water Level
Rising or
Falling","12 Hr RF
in mm at
9.00 pm",,,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.20,3.10,Normal,,-,,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,6.13,6.13,Normal,,5.9,,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,14.29,14.15,Normal,,8.1,,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.56,2.41,Normal,,8.8,,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.52,1.45,Normal,,,,2.6,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.83,1.78,Normal,,7.8,,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.12,1.08,Normal,,3,,,.6,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.10,3.13,Alert,Rising,0.0,,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,9.90,9.92,Normal,,7.1,,,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,6.33,6.25,Alert,Falling,4,,,.3,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,5.52,5.46,Alert,Falling,0.0,,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.83,7.88,Minor Flood,Rising,0.6,,,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.36,2.32,Normal,,9.2,,,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.05,4.06,Minor Flood,Rising,7.5,,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.33,1.33,Normal,,,,2.5,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.93,4.89,Normal,,6.1,,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.04,1.01,Normal,,5,,,.0,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.36,0.35,Normal,,,1.6,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.61,3.60,Alert,Falling,0.0,,,,
