River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 pm","Water
Level at
3:00 pm",Remarks,"Water Level
Rising or
Falling","6 Hr RF in
mm at 3.00
pm",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.75,2.90,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.71,5.82,Normal,,,25.8,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,13.87,13.95,Normal,,,25.1,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.60,2.54,Normal,,52.4,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,2.24,3.05,Alert,,56.3,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,2.84,3.15,Normal,,38.,,4
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.82,0.83,Normal,,5.1,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.28,2.32,Normal,,,17.2,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.67,7.78,Normal,,61.1,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,3.15,3.27,Normal,,,15.4,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.10,4.49,Alert,Rising,35.,,2
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.90,5.93,Alert,Rising,,22.3,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,3.07,3.36,Normal,,,11.2,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.32,2.31,Normal,,0.1,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.72,0.72,Normal,,3.5,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.63,3.62,Normal,,2.5,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.22,1.35,Normal,,,10.6,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.65,0.67,Normal,,37.,,8
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.14,4.24,Alert,Rising,37.,,7
