River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 am","Water
Level at
6:00 am",Remarks,"Water
Level
Rising or
Falling","21 Hr RF in
mm at 6.00
am",,,,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,4.70,4.70,Alert,,-,,,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,7.66,7.54,Alert,Falling,0.2,,,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,13.90,13.56,Normal,,0.6,,,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.39,2.25,Normal,,3.,,,5,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.40,1.37,Normal,,0.0,,,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.57,1.55,Normal,,0.0,,,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.92,0.92,Normal,,0.0,,,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.13,3.15,Alert,Rising,0.0,,,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,9.22,9.22,Normal,,0.0,,,,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.35,4.27,Normal,,0.6,,,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.36,4.30,Alert,Falling,0.0,,,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.71,7.70,Minor Flood,Falling,,1.4,,,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.23,2.22,Normal,,3.,,,7,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.61,2.58,Normal,,5.1,,,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.92,0.92,Normal,,6.7,,,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.05,3.98,Normal,,,,2.8,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.15,1.05,Normal,,,1.6,,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.52,0.51,Normal,,6.0,,,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.74,3.69,Normal,,0.0,,,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.63,2.54,Normal,,0.8,,,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.54,4.47,Minor Flood,Falling,0.0,,,,,
