River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr R
in mm
8.30 a"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.55,1.30,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.38,3.28,Normal,,69.2
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.70,10.59,Normal,,75.4
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.81,1.86,Normal,,42.0
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.70,0.67,Normal,,51.9
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.77,0.76,Normal,,107.0
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.71,0.70,Normal,,12.7
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.69,1.66,Normal,,66.5
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.30,7.27,Normal,,118.4
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.20,2.10,Normal,,69.1
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.05,2.97,Normal,,84.5
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.72,4.72,Normal,,85.9
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,1.90,1.89,Normal,,108.5
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.33,2.35,Normal,,52.8
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.54,0.52,Normal,,3.2
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.25,3.21,Normal,,21.7
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.62,0.60,Normal,,17.4
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.11,0.10,Normal,,14.7
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,0.58,0.58,Normal,,0.8
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.17,0.16,Normal,,0.0
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.67,0.60,Normal,,0.0
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.06,1.05,Normal,,0.0
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.30,-0.30,Normal,,11.4
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.90,0.89,Normal,,8.8
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.54,0.53,Normal,,9.3
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.16,0.16,Normal,,36.9
,,Manampitiya ( Old),m,3.50,5.00,6.00,-1.03,-1.03,Normal,,9.8
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,0.11,0.11,Normal,,9.8
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-1.90,-1.89,Normal,,3.2
Mahaweli Ganga,Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.80,2.00,Normal,,22.6
(RB 60),Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.07,1.06,Normal,,16.2
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.46,0.44,Normal,,8.3
,Agra Oya,Calidonia,m,3.00,3.50,4.50,0.75,0.75,Normal,,5.7
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.93,1.91,Normal,,6.3
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.34,0.34,Normal,,2.2
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,0.94,0.92,Normal,,0.0
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-0.08,-0.08,Normal,,2.3
"Deduru Oya
(RB 99)",Deduru Oya,Ridi bendi Ella (Dam),m,3.30,4.20,4.70,1.05,1.05,Normal,,43.1
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.59,2.59,Normal,,67.7
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.39,1.38,Normal,,98.8
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.37,3.31,Alert,Falling,72.0
