River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 pm","Water
Level at
12:00
Midnight",Remarks,"Water
Level
Rising or
Falling","15 Hr RF
in mm at
12.00
Midnight",,,,,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.90,4.20,Alert,Rising,-,,,,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,7.88,7.88,Alert,,144.1,,,,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,16.36,16.47,Alert,Rising,194.4,,,,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.35,2.27,Normal,,9,,,0.6,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,3.92,3.45,Minor Flood,,159.1,,,,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,3.77,3.29,Normal,,198.4,,,,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.17,1.18,Normal,,,37.5,,,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.25,3.28,Alert,Rising,9,,,2.9,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,9.45,9.48,Normal,,116,,,,.0,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,NA,NA,,,8,,,5.0,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,5.70,5.78,Alert,Rising,113,,,,.5,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.96,7.01,Minor Flood,Rising,9,,,4.8,,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,5.44,5.51,Alert,Rising,123,,,,.6,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,NA,NA,,,,27.4,,,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.86,0.91,Normal,,,24.4,,,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.97,5.11,Alert,Rising,,35.0,,,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.30,2.37,Normal,,,,58.2,,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.89,1.05,Normal,,,42.8,,,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.58,3.86,Normal,,,25.2,,,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,3.60,3.70,Normal,,,,68.0,,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.78,4.82,Minor Flood,Rising,114,,,,.4,,
