River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.20,3.25,Normal,,-,,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.73,5.68,Normal,,,31.3,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.97,12.84,Normal,,36,,.7,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.88,1.97,Normal,,41.5,,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.58,1.52,Normal,,65.0,,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.45,1.40,Normal,,65.1,,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.84,0.84,Normal,,11.5,,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.96,2.95,Normal,,,29.1,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.84,7.83,Normal,,59.1,,,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.79,2.77,Normal,,,25.5,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.64,3.66,Normal,,,22.8,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.84,6.82,Minor Flood,Falling,,29.1,,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.18,2.18,Normal,,10.1,,,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.33,3.31,Normal,,,20.4,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.22,1.21,Normal,,8.8,,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.23,4.20,Normal,,3.7,,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.00,0.98,Normal,,15.1,,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.34,0.32,Normal,,6.3,,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,0.67,0.66,Normal,,0.0,,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.13,0.13,Normal,,0.0,,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.63,0.62,Normal,,0.0,,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.04,1.03,Normal,,0.0,,,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.31,-0.31,Normal,,0.0,,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.92,0.92,Normal,,0.5,,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.43,0.42,Normal,,2.5,,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.27,0.26,Normal,,0.0,,,,
,,Manampitiya ( Old),m,3.50,5.00,6.00,-0.54,-0.52,Normal,,0.0,,,,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,0.60,0.62,Normal,,0.0,,,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-1.90,-1.80,Normal,,0.0,,,,
Mahaweli Ganga,Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.30,3.50,Normal,,,20.1,,,
(RB 60),Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.55,1.53,Normal,,42.2,,,,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.51,0.48,Normal,,1.6,,,,
,Agra Oya,Calidonia,m,3.00,3.50,4.50,1.00,1.00,Normal,,14.5,,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.61,1.61,Normal,,0.0,,,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.33,0.33,Normal,,2.9,,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.10,1.10,Normal,,0.0,,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-0.10,-0.10,Normal,,13.1,,,,
"Deduru Oya
(RB 99)",Deduru Oya,Ridi bendi Ella (Dam),m,3.30,4.20,4.70,1.13,1.13,Normal,,14.9,,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.90,3.88,Normal,,,26.7,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.84,2.75,Normal,,,21.2,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.13,4.14,Alert,Rising,35,,.7,,
