River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.10,2.20,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.30,4.31,Normal,,1.5,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.60,12.52,Normal,,32.0,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.93,1.96,Normal,,38.8,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.51,1.43,Normal,,21.3,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.15,1.12,Normal,,20.6,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.88,0.88,Normal,,11.5,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.77,0.79,Normal,,25.5,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.25,6.27,Normal,,16.1,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.61,2.51,Normal,,3.4,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.64,1.63,Normal,,7.5,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,3.08,3.04,Normal,,11.0,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,1.66,1.66,Normal,,5.5,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.42,1.41,Normal,,4.1,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.51,0.55,Normal,,1.6,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.11,3.09,Normal,,0.0,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.82,0.81,Normal,,6.8,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.29,0.29,Normal,,6.4,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,0.65,0.65,Normal,,2.7,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.62,0.60,Normal,,27.3,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.76,0.76,Normal,,12.2,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.35,1.35,Normal,,2.8,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.20,0.17,Normal,,47.6,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.54,1.50,Normal,,23.0,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,1.46,1.36,Normal,,47.9,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.83,0.80,Normal,,7,1.7
,,Manampitiya ( Old),m,3.50,5.00,6.00,-0.07,0.00,Normal,,22.6,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,1.07,1.14,Normal,,22.6,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.00,-2.10,Normal,,6,2.2
Mahaweli Ganga,Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.77,3.74,Normal,,41.7,
(RB 60),Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.61,1.59,Normal,,52.4,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.87,0.84,Normal,,24.7,
,Agra Oya,Calidonia,m,3.00,3.50,4.50,1.00,1.00,Normal,,9.7,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,3.80,3.84,Normal,,6,5.9
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.43,0.42,Normal,,50.3,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,2.01,2.06,Normal,,6.0,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.13,0.12,Normal,,0.8,
"Deduru Oya
(RB 99)",Deduru Oya,Ridi bendi Ella (Dam),m,3.30,4.20,4.70,2.28,2.19,Normal,,3.8,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,5.35,5.52,Alert,Rising,0.6,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,5.06,4.76,Normal,,152.8,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.58,2.57,Normal,,23.7,
