River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,,,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.50,1.20,Normal,,-,,,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.97,2.92,Normal,,47,,,.6,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.65,10.61,Normal,,0.0,,,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.94,1.86,Normal,,0.5,,,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.80,0.80,Normal,,1.7,,,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.85,0.85,Normal,,0.0,,,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.85,0.85,Normal,,0.0,,,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.26,1.20,Normal,,3.5,,,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.67,6.61,Normal,,96.0,,,,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.36,2.33,Normal,,,28.3,,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.82,1.85,Normal,,6.2,,,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,3.81,3.79,Normal,,7.2,,,,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.41,2.39,Normal,,3.3,,,,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.72,1.72,Normal,,0.0,,,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.43,1.43,Alert,,71.0,,,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.43,5.40,Alert,Falling,15.0,,,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.35,2.28,Normal,,111.1,,,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.75,1.65,Normal,,,28.9,,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,1.01,1.01,Normal,,4.2,,,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.64,0.62,Normal,,0.9,,,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.74,0.74,Normal,,1.2,,,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.49,1.48,Normal,,1.3,,,,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.04,-0.04,Normal,,2.0,,,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.38,1.45,Normal,,13.6,,,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,1.28,1.27,Normal,,,29.5,,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.74,0.89,Normal,,19.9,,,,,
,,Manampitiya ( Old),m,3.50,5.00,6.00,0.41,0.44,Normal,,54,,,.3,,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,1.55,1.58,Normal,,54,,,.3,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-0.81,-0.81,Normal,,,,40.4,,,
Mahaweli Ganga,Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.90,2.98,Normal,,5.4,,,,,
(RB 60),Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.25,1.25,Normal,,0.8,,,,,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.94,0.88,Normal,,21.0,,,,,
,Agra Oya,Calidonia,m,3.00,3.50,4.50,0.91,0.94,Normal,,0.0,,,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,2.81,2.87,Normal,,,32.7,,,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.52,0.58,Normal,,61,,,.1,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.81,1.85,Normal,,12.9,,,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.01,0.01,Normal,,7.3,,,,,
"Deduru Oya
(RB 99)",Deduru Oya,Ridi bendi Ella (Dam),m,3.30,4.20,4.70,1.39,1.39,Normal,,1.3,,,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.01,3.00,Normal,,0.0,,,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.77,1.77,Normal,,0.0,,,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.20,2.16,Normal,,0.0,,,,,
