River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.70,1.95,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.54,2.52,Normal,,0.0,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.25,10.20,Normal,,0.0,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.70,1.76,Normal,,0.0,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.77,0.77,Normal,,7.0,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.75,0.78,Normal,,0.0,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.80,0.80,Normal,,0.0,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.47,1.42,Normal,,0.0,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.12,6.14,Normal,,0.0,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.28,2.21,Normal,,0.3,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.95,1.96,Normal,,0.0,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.38,4.29,Normal,,0.0,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.65,2.54,Normal,,1.9,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.52,2.54,Normal,,0.0,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.61,1.61,Alert,,0.0,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.64,5.64,Alert,,1.0,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.14,1.98,Normal,,2,7.3,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.15,1.08,Normal,,9.4,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,1.34,1.31,Normal,,12.4,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,1.11,1.09,Normal,,62.5,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.88,0.88,Normal,,3.0,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.69,1.68,Normal,,37.,,7
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.47,0.47,Normal,,9.0,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.30,1.28,Normal,,15.5,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.70,0.70,Normal,,0.0,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.50,0.50,Normal,,0.0,,
,,Manampitiya ( Old),m,3.50,5.00,6.00,0.09,0.07,Normal,,0.0,,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,1.23,1.21,Normal,,0.0,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-1.10,-1.17,Normal,,0.0,,
Mahaweli Ganga,Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.40,2.59,Normal,,0.0,,
(RB 60),Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.05,1.05,Normal,,0.8,,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.80,0.79,Normal,,42.,,5
,Agra Oya,Calidonia,m,3.00,3.50,4.50,0.90,0.90,Normal,,0.0,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.95,1.95,Normal,,0.0,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.47,0.47,Normal,,0.0,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.55,1.53,Normal,,0.0,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.25,0.24,Normal,,0.0,,
"Deduru Oya
(RB 99)",Deduru Oya,Ridi bendi Ella (Dam),m,3.30,4.20,4.70,1.16,1.13,Normal,,0.0,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.75,2.75,Normal,,0.0,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.52,1.51,Normal,,0.3,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.37,2.33,Normal,,0.0,,
