River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 am","Water
Level at
3:00 am",Remarks,"Water Level
Rising or
Falling","18 Hr RF
in mm at
3.00 am",,,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.70,2.90,Normal,,-,,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.14,4.19,Normal,,42.5,,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.15,12.20,Normal,,29.,,,6,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.70,1.70,Normal,,28.,,,0,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.90,0.92,Normal,,36.,,,5,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.61,-,,,52.5,,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.78,0.80,Normal,,31.,,,2,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.19,2.21,Normal,,,,20.6,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.85,7.90,Normal,,53.8,,,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.40,4.48,Normal,,36.,,,6,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.98,3.99,Normal,,,9.9,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.68,5.69,Alert,Rising,,,15.8,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,3.39,3.45,Normal,,53.9,,,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.91,3.92,Alert,Rising,,,21.6,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,-,-,,,-,,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.46,6.45,Minor Flood,Falling,57.0,,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.49,2.50,Normal,,43.2,,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.56,1.50,Normal,,33.,,,3,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.74,2.74,Normal,,34.,,,7,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.45,1.45,Normal,,36.,,,4,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.70,3.70,Alert,,32.,,,9,
