River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 am","Water
Level at
12:00
Noon",Remarks,"Water Level
Rising or
Falling","3 Hr RF in
mm at
12.00 Noon",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.60,3.00,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.31,4.45,Normal,,15,.7,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.50,12.77,Normal,,36.5,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.15,2.25,Normal,,38.0,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.29,1.38,Normal,,14,.5,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,2.14,2.30,Normal,,35.3,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.12,1.28,Normal,,19,.2,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.48,2.54,Normal,,16,.2,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.48,8.55,Normal,,24,.4,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,6.39,6.77,Alert,Rising,23,.5,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.95,4.98,Alert,Rising,2.5,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.30,6.37,Alert,Rising,24,.0,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,4.92,5.06,Alert,Rising,3.6,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.17,4.18,Minor Flood,Rising,0.6,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.70,1.72,Minor Flood,Rising,21,.8,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.94,6.97,Minor Flood,Rising,0.0,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,4.87,4.99,Alert,Rising,28.7,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,3.82,4.19,Minor Flood,Rising,32.3,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.77,2.79,Normal,,0.2,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.59,1.61,Normal,,3.9,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.71,3.73,Alert,Rising,5.0,,
