River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 pm","Water
Level at
9:00 pm",Remarks,"Water Level
Rising or
Falling","12 Hr RF
in mm at
9.00 pm",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.00,2.25,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.56,5.60,Normal,,15,.9
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,13.59,13.58,Normal,,36,.5
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.00,1.96,Normal,,40,.0
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.39,1.32,Normal,,14,.8
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.54,1.48,Normal,,35,.8
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.20,1.19,Normal,,19,.7
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.80,2.82,Normal,,17,.3
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,9.02,9.05,Normal,,27,.9
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,7.28,7.25,Alert,Falling,26,.6
,Maguru Ganga,Magura,m,4.00,6.00,7.50,5.45,5.48,Alert,Rising,6.3,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.86,6.88,Minor Flood,Rising,24,.5
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,5.69,5.67,Alert,Falling,12,.5
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.37,4.37,Minor Flood,,0.6,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.81,1.83,Minor Flood,Rising,21,.8
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,7.18,7.21,Minor Flood,Rising,7.7,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,5.12,5.05,Minor Flood,Falling,31,.6
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,3.40,3.10,Alert,Falling,46.6,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.10,3.15,Normal,,4.7,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.04,2.10,Normal,,7.4,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.05,4.06,Alert,Rising,5.0,
