River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 am","Water
Level at
12:00
Noon",Remarks,"Water Level
Rising or
Falling","3 Hr RF in
mm at
12.00 Noon",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.85,2.95,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.97,4.91,Normal,,,4.6,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.97,11.96,Normal,,,5.9,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.80,1.66,Normal,,0.0,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.07,1.06,Normal,,,10.9,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.51,1.47,Normal,,0.0,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.91,0.90,Normal,,0.0,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,4.08,4.07,Minor Flood,Falling,1.0,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,9.67,9.66,Normal,,0.0,,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.66,4.59,Normal,,0.0,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.95,2.90,Normal,,0.0,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.77,7.75,Minor Flood,Falling,,7.9,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.66,2.64,Normal,,,11.0,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.26,4.27,Minor Flood,Rising,25.8,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.24,2.26,Minor Flood,Rising,,9.8,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.70,6.68,Minor Flood,Falling,,4.7,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.43,2.40,Normal,,0.7,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.48,1.46,Normal,,0.0,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.13,3.15,Normal,,,5.3,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.83,1.80,Normal,,13,,.7,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.43,3.40,Alert,Falling,18.5,,,
