River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
08:00 pm","Water
Level at
09:00 pm",Remarks,"Water Level
Rising or
Falling","12 Hr RF
in mm at
9.00 pm"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.70,2.50,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.57,4.54,Normal,,7.3
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.77,11.77,Normal,,6.5
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.95,1.95,Normal,,1.4
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.13,1.10,Normal,,14.3
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.59,1.52,Normal,,3.2
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.89,0.89,Normal,,2.7
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.92,3.91,Alert,Falling,15.1
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,9.53,9.49,Normal,,37.5
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,5.02,4.98,Normal,,20.2
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.55,3.63,Normal,,10.3
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.62,7.60,Minor Flood,Falling,35.6
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,3.32,3.26,Normal,,30.6
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.23,4.22,Minor Flood,Falling,42.3
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.35,2.36,Minor Flood,Rising,73.8
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.80,6.82,Minor Flood,Rising,21.3
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.98,2.93,Normal,,18.7
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.93,1.89,Normal,,20.9
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.15,3.17,Normal,,9.1
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.00,1.99,Normal,,15.9
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.40,3.40,Alert,,24.2
