River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
02:00 pm","Water
Level at
03:00 pm",Remarks,"Water Level
Rising or
Falling","6 Hr RF in
mm at 3.00
pm",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.80,2.90,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.55,4.54,Normal,,3.9,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.80,11.80,Normal,,3.1,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.95,1.96,Normal,,19.6,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.00,1.04,Normal,,6.2,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.39,1.41,Normal,,6.2,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.80,0.80,Normal,,2.4,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.24,3.23,Alert,Falling,1.5,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.35,8.33,Normal,,4.9,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.05,3.98,Normal,,0.0,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.28,4.36,Alert,Rising,0.0,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.83,6.82,Minor Flood,Falling,1.7,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,3.00,2.94,Normal,,1.0,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.14,4.13,Minor Flood,Falling,,8.0
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.62,2.62,Minor Flood,,0.0,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.75,6.72,Minor Flood,Falling,6.2,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.45,2.42,Normal,,3.3,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.54,1.49,Normal,,2.7,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.03,3.01,Normal,,0.9,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.60,1.60,Normal,,0.6,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.24,3.23,Normal,,0.0,
