River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 pm","Water
Level at
6:00 pm",Remarks,"Water Level
Rising or
Falling","9 Hr RF in
mm at 6.00
pm",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.00,2.80,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.54,4.55,Normal,,4.4,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,1.83,1.85,Normal,,3.1,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.98,1.86,Normal,,20.8,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.04,1.03,Normal,,6.2,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.51,1.46,Normal,,11,.7,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.80,0.80,Normal,,2.9,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.20,3.19,Alert,Falling,7.2,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.29,8.28,Normal,,4.9,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,3.80,3.80,Normal,,0.0,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.45,4.45,Alert,,0.0,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.80,6.79,Minor Flood,Falling,1.7,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.83,2.80,Normal,,1.0,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.11,4.10,Minor Flood,Falling,10,.0,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.62,2.61,Minor Flood,Falling,1.2,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.66,6.64,Minor Flood,Falling,7.9,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.39,2.37,Normal,,16.6,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.42,1.40,Normal,,2.7,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.00,2.98,Normal,,2.1,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.56,1.53,Normal,,1.2,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.20,3.17,Normal,,0.0,,
