River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 pm","Water
Level at
9:00 pm",Remarks,"Water Level
Rising or
Falling","12 Hr RF
in mm at
9.00 pm",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.70,2.45,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.56,4.56,Normal,,15.6,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.91,12.01,Normal,,10.1,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.99,1.99,Normal,,31,.7,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.03,1.08,Normal,,19.9,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.39,1.48,Normal,,29,.1,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.80,0.80,Normal,,3.4,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.19,3.19,Alert,,60.3,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.30,8.32,Normal,,35,.1,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,3.71,3.72,Normal,,13.1,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.40,4.38,Alert,Falling,3.4,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.84,6.84,Minor Flood,,39,.0,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.77,2.76,Normal,,5.8,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.10,4.14,Minor Flood,Rising,46.7,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.62,2.62,Minor Flood,,3.2,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.61,6.60,Minor Flood,Falling,10.9,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.35,2.39,Normal,,44.9,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.38,1.37,Normal,,11.8,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.96,2.93,Normal,,5.8,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.50,1.50,Normal,,2.6,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.20,3.19,Normal,,7.0,,
