River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 pm","Water
Level at
12:00 am",Remarks,"Water Level
Rising or
Falling","15 Hr RF
in mm at
12.00 am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.00,2.90,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.82,5.87,Normal,,59.1,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,13.65,13.70,Normal,,36.4,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.00,1.88,Normal,,36.1,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.22,1.20,Normal,,8.7,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,2.25,2.16,Normal,,55.2,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.07,1.08,Normal,,3.6,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.14,3.14,Alert,,34.9,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.95,8.98,Normal,,33.9,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.88,4.92,Normal,,15.1,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.69,4.73,Alert,Rising,26.6,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.03,7.03,Minor Flood,,19.2,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,4.66,4.89,Alert,Rising,63.0,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.55,4.58,Minor Flood,Rising,43.7,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.68,2.68,Minor Flood,,28.7,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,7.00,7.10,Minor Flood,Rising,47.9,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,4.92,4.94,Alert,Rising,116.4,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,3.17,3.11,Alert,Falling,81.7,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.31,3.38,Normal,,14.5,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.44,2.46,Normal,,18.3,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.48,4.55,Minor Flood,Rising,64.6,
