River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 pm","Water
Level at
9:00 pm",Remarks,"Water Level
Rising or
Falling","12 Hr RF
in mm at
9.00 pm",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.00,2.90,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.97,4.95,Normal,,0.2,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.03,12.02,Normal,,5.5,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.92,1.82,Normal,,7.0,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.07,1.05,Normal,,,17.5,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.46,1.54,Normal,,34.8,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.87,0.87,Normal,,4.2,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.23,3.23,Alert,,1.1,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,9.06,9.05,Normal,,9.5,,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.23,4.18,Normal,,12.5,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.85,4.81,Alert,Falling,6.0,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.21,7.22,Minor Flood,Rising,3.2,,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,3.90,3.82,Normal,,27,,.2,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,5.00,5.03,Major Flood,Rising,12.4,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.79,2.80,Major Flood,Rising,48.2,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,7.06,7.06,Minor Flood,,26,,.4,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.88,2.90,Normal,,11.0,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.83,1.86,Normal,,26,,.0,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.22,3.20,Normal,,0.4,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.89,1.89,Normal,,1.5,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.69,4.66,Minor Flood,Falling,3.2,,,
