River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.80,2.80,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.48,4.43,Normal,,0.2,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.52,11.47,Normal,,5.5,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.88,1.86,Normal,,7.0,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.88,0.86,Normal,,17.5,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.29,1.28,Normal,,34.8,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.85,0.85,Normal,,4.2,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.19,3.18,Alert,Falling,1.1,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.90,8.89,Normal,,11.1,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,3.51,3.45,Normal,,12.5,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.55,4.48,Alert,Falling,6.0,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.13,7.12,Minor Flood,Falling,3.2,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,3.00,3.04,Normal,,28.9,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,5.15,5.15,Major Flood,,17.9,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.92,2.92,Major Flood,,56.2,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.82,6.82,Minor Flood,,23.4,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.53,2.48,Normal,,18.9,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.41,1.40,Normal,,26.0,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,0.70,0.96,Normal,,0.0,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,1.02,0.97,Normal,,11.9,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.75,0.74,Normal,,53.9,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.52,1.49,Normal,,11.7,,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.12,0.09,Normal,,43.4,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.82,0.80,Normal,,1.7,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.36,0.37,Normal,,0.3,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.44,0.42,Normal,,19.4,,
,,Manampitiya ( Old),m,3.50,5.00,6.00,-1.44,-1.44,Normal,,33.1,,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,-0.30,-0.30,Normal,,33.1,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.73,-2.72,Normal,,45.4,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.10,2.28,Normal,,6.9,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.40,1.40,Normal,,2.0,,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.52,0.52,Normal,,3.4,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.39,1.39,Normal,,64.1,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.38,0.38,Normal,,33.1,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,0.30,0.30,Normal,,0.3,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-0.03,-0.03,Normal,,0.5,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,-,-,-,0.13,0.13,Normal,,3.5,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.12,3.11,Normal,,0.4,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.82,1.78,Normal,,0.9,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.26,4.22,Alert,Falling,3.2,,
