River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 pm","Water
Level at
6:00 pm",Remarks,"Water Level
Rising or
Falling","9 Hr RF in
mm at 6.00
pm"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.00,2.00,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.59,3.56,Normal,,0.0
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.25,11.45,Normal,,59.2
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.00,1.82,Normal,,0.0
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.80,0.78,Normal,,7.3
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.79,1.69,Normal,,9.3
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.13,0.98,Normal,,12.8
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.66,2.62,Normal,,0.0
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.55,7.51,Normal,,4.7
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.65,2.73,Normal,,11.6
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.78,2.88,Normal,,20.2
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.28,6.25,Alert,Falling,15.2
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.39,2.40,Normal,,16.2
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.89,4.87,Minor Flood,Falling,0.0
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.70,2.69,Minor Flood,Falling,0.0
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.15,6.12,Minor Flood,Falling,0.0
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.93,1.92,Normal,,0.0
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.10,1.10,Normal,,0.0
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.02,2.98,Normal,,0.0
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.59,1.54,Normal,,0.0
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.77,2.72,Normal,,0.0
