River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.30,1.40,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.52,3.48,Normal,,0.0,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.48,11.42,Normal,,4.2,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.86,1.79,Normal,,70.9,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.88,0.87,Normal,,5.1,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.12,1.08,Normal,,13.9,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.12,1.10,Normal,,6.3,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.21,2.18,Normal,,0.0,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.19,8.16,Normal,,4.5,,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,3.97,3.87,Normal,,0.9,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.71,2.67,Normal,,0.0,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.55,5.52,Alert,Falling,4.9,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.11,4.09,Minor Flood,Falling,1.6,,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.48,2.45,Normal,,0.0,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.19,2.18,Minor Flood,Falling,3,,6.9,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.26,6.24,Minor Flood,Falling,8.2,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.85,1.84,Normal,,0.0,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.15,1.14,Normal,,0.0,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,0.87,0.86,Normal,,0.0,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,1.09,1.08,Normal,,0.0,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.66,0.66,Normal,,9.4,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.84,1.82,Normal,,1.3,,,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.24,-0.25,Normal,,0.7,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.11,1.09,Normal,,16.7,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.73,0.67,Normal,,89.2,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.59,0.56,Normal,,5,,0.4,
,,Manampitiya ( Old),m,3.50,5.00,6.00,-0.66,-0.66,Normal,,4,,2.3,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,0.48,0.48,Normal,,4,,2.3,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.61,-2.69,Normal,,7.6,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.07,3.19,Normal,,4,,5.4,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.71,1.70,Normal,,,27.2,,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.74,0.72,Normal,,15.7,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.61,1.61,Normal,,4.2,,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.39,0.39,Normal,,1.6,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,0.31,0.31,Normal,,0.0,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-0.08,-0.08,Normal,,0.0,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,-,-,-,0.12,0.11,Normal,,0.0,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.65,2.65,Normal,,4.5,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.59,1.60,Normal,,0.6,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.27,2.26,Normal,,2.0,,,
