River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
02:00 pm","Water
Level at
03:00 pm",Remarks,"Water Level
Rising or
Falling","6 Hr RF in
mm at
03.00 pm"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.80,2.70,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.29,3.24,Normal,,0.0
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.08,11.03,Normal,,0.0
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.96,1.93,Normal,,0.0
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.80,0.78,Normal,,0.0
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.08,1.06,Normal,,0.0
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.97,0.97,Normal,,0.0
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.20,2.21,Normal,,0.0
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.98,7.92,Normal,,0.5
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,3.39,3.29,Normal,,0.5
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.51,2.49,Normal,,0.0
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.31,5.26,Alert,Falling,0.0
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.98,3.96,Alert,Falling,0.0
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.44,2.44,Normal,,0.0
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.16,2.16,Minor Flood,,0.0
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.13,6.11,Minor Flood,Falling,0.0
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.79,1.77,Normal,,0.0
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.09,1.08,Normal,,0.0
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.79,2.79,Normal,,0.0
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.51,1.49,Normal,,0.0
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.19,2.17,Normal,,0.0
