River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
05:00 pm","Water
Level at
06:00 pm",Remarks,"Water Level
Rising or
Falling","9 Hr RF in
mm at
06.00 pm",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.00,1.70,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.12,3.07,Normal,,0.0,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.93,10.90,Normal,,0.0,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.98,1.99,Normal,,5.9,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.75,0.75,Normal,,0.0,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.99,1.02,Normal,,1.0,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.95,1.00,Normal,,6.5,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.17,2.12,Normal,,0.0,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.81,7.75,Normal,,0.5,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,3.12,3.03,Normal,,0.5,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.45,2.42,Normal,,0.0,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.16,5.13,Alert,Falling,0.0,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.92,3.89,Alert,Falling,0.0,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.45,2.40,Normal,,0.9,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.14,2.14,Minor Flood,,0.0,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.08,6.00,Minor Flood,Falling,0.0,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.74,1.72,Normal,,0.0,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.06,1.06,Normal,,0.0,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.75,2.73,Normal,,0.0,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.47,1.46,Normal,,0.0,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.11,2.10,Normal,,0.0,
