River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 am","Water
Level at
12:00
Noon",Remarks,"Water Level 3
Rising or
Falling 1","Hr RF in
mm at
2.00 Noon",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.80,2.10,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.75,3.70,Normal,,17.0,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.60,11.58,Normal,,5.0,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.04,2.10,Normal,,20.6,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.44,1.50,Normal,,7.6,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.21,1.22,Normal,,10.5,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.26,1.25,Normal,,2.5,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.30,1.30,Normal,,1.1,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.20,7.20,Normal,,5.8,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,3.19,3.21,Normal,,11.0,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.18,2.15,Normal,,0.0,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.15,4.13,Normal,,0.0,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.98,2.97,Normal,,16.2,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.26,2.21,Normal,,2.4,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.02,1.99,Minor Flood,Falling,0.0,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.41,5.40,Alert,Falling,9.4,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.61,1.61,Normal,,0.8,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.00,0.99,Normal,,0.0,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.83,3.79,Normal,,3.8,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.55,2.49,Normal,,7.9,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.28,2.29,Normal,,13.3,,
