River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 am","Water
Level at
12:00
Noon",Remarks,"Water Level
Rising or
Falling","3 Hr RF in
mm at
12.00 Noon"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.40,1.80,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.20,3.15,Normal,,0.0
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.09,11.05,Normal,,0.0
,Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.93,1.99,Normal,,0.0
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.00,1.00,Normal,,0.0
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.10,1.09,Normal,,0.0
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.06,1.06,Normal,,0.0
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.94,0.89,Normal,,0.0
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.26,6.22,Normal,,0.0
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.26,2.23,Normal,,0.0
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.95,1.93,Normal,,0.0
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,3.40,3.37,Normal,,0.0
"Gin Ganga
(RB 09)",Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.57,2.53,Normal,,0.0
,Gin Ganga,Tawalama,m,4.00,6.00,7.50,1.96,1.97,Normal,,0.0
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.86,1.86,Minor Flood,,0.0
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.97,4.96,Normal,,0.0
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.44,1.44,Normal,,0.0
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.86,0.86,Normal,,0.0
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,3.15,3.13,Normal,,0.0
,Maha Oya,Giriulla,m,5.50,6.50,7.50,1.80,1.78,Normal,,0.0
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.12,2.10,Normal,,0.0
