River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 pm","Water
Level at
3.00 pm",Remarks,"Water Level
Rising or
Falling","6 Hr RF in
mm at 3.00
pm",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.20,2.50,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.46,2.45,Normal,,10.2,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.53,10.56,Normal,,2,2.0,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.00,2.00,Normal,,1.5,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.07,1.05,Normal,,14.6,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.89,0.95,Normal,,8.3,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.34,1.33,Normal,,15.3,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.92,1.00,Normal,,11.4,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.21,6.35,Normal,,3,5.7,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,1.81,2.00,Normal,,2,8.8,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.62,1.62,Normal,,6.1,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,3.07,3.13,Normal,,11.1,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.15,2.24,Normal,,60.6,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,1.86,1.88,Normal,,2.1,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.63,1.63,Alert,,3,2.1,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.73,4.81,Normal,,44.8,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.41,1.73,Normal,,2,5.2,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.94,1.34,Normal,,2,4.0,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.63,3.72,Normal,,5.2,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.88,2.83,Normal,,0.0,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.44,2.42,Normal,,4.7,,
