River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 pm","Water
Level at
3.00 pm",Remarks,"Water Level
Rising or
Falling","6 Hr RF in
mm at 3.00
pm",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.40,2.60,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.60,3.53,Normal,,0.6,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.10,11.04,Normal,,0.9,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.00,2.00,Normal,,0.0,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.18,1.14,Normal,,0.0,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.84,0.87,Normal,,0.0,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.14,1.13,Normal,,1.6,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.59,1.60,Normal,,0.9,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.47,7.39,Normal,,0.2,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.80,2.75,Normal,,7.0,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.95,1.97,Normal,,2.6,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.33,4.29,Normal,,3.9,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.00,3.01,Normal,,1.1,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.27,2.25,Normal,,7.9,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.79,1.79,Minor Flood,,37.5,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.69,5.68,Alert,Falling,7.6,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.05,2.07,Normal,,1,5.8
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,2.53,2.53,Alert,,4.2,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.93,3.85,Normal,,0.0,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.71,2.65,Normal,,2.8,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.36,3.32,Alert,Falling,0.0,
