River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 am","Water
Level at
12.00
Noon",Remarks,"Water Level
Rising or
Falling","3 Hr RF in
mm at
12.00 Noon",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.50,1.60,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.88,2.83,Normal,,0.0,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.75,10.70,Normal,,0.4,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.83,1.86,Normal,,0.0,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.95,0.94,Normal,,0.0,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.81,0.80,Normal,,0.0,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.11,1.10,Normal,,0.0,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.35,1.34,Normal,,0.0,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.96,6.98,Normal,,20.2,,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,3.26,3.16,Normal,,0.0,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.60,2.52,Normal,,2.5,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.67,4.67,Normal,,0.3,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.94,2.93,Normal,,26.0,,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.24,2.24,Normal,,1,,1.2,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.79,1.78,Minor Flood,Falling,0.0,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.08,5.08,Alert,,2.4,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.62,1.61,Normal,,,7.2,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.97,0.98,Normal,,1,,0.0,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.97,2.95,Normal,,0.0,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.64,1.64,Normal,,0.0,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.80,2.76,Normal,,0.0,,,
