River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 am","Water
Level at
12.00
Noon",Remarks,"Water Level
Rising or
Falling","3 Hr RF in
mm at
12.00 Noon"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.60,2.50,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.33,4.31,Normal,,0.0
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.87,11.84,Normal,,0.0
,Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.89,1.89,Normal,,0.0
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.27,1.22,Normal,,0.0
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.98,0.90,Normal,,0.0
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.98,0.97,Normal,,0.0
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.56,1.58,Normal,,0.0
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.21,7.27,Normal,,0.0
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,5.25,5.23,Alert,Falling,0.0
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.78,4.89,Alert,Rising,0.0
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.04,5.09,Alert,Rising,0.0
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.43,3.49,Normal,,0.0
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,4.31,4.19,Alert,Falling,0.0
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.86,1.87,Minor Flood,Rising,0.0
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.88,6.90,Minor Flood,Rising,0.0
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,5.38,5.32,Minor Flood,Falling,0.0
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,3.55,3.00,Alert,Falling,0.0
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,4.93,4.73,Normal,,0.0
,Maha Oya,Giriulla,m,5.50,6.50,7.50,3.82,3.70,Normal,,0.0
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.13,4.15,Alert,Rising,0.0
