River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 pm","Water
Level at
6.00 pm",Remarks,"Water Level
Rising or
Falling","9 Hr RF in
mm at 6.00
p.m.",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.90,2.70,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.32,5.30,Normal,,1,5.2,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.86,11.98,Normal,,1,4.9,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.08,2.19,Normal,,2.4,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.31,1.74,Normal,,1,4.4,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.97,0.97,Normal,,1.2,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.33,1.29,Normal,,32.7,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.40,2.40,Normal,,4.7,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.08,8.02,Normal,,5.2,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,3.29,3.32,Normal,,0.9,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.47,2.56,Normal,,7.8,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.99,6.00,Alert,Rising,33.0,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.06,3.02,Normal,,0.0,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.33,2.45,Normal,,45.1,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.93,1.93,Minor Flood,,0.0,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.16,6.11,Minor Flood,Falling,0.0,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.03,1.94,Normal,,0.0,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.25,1.24,Normal,,4.3,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,2.72,2.72,Alert,,0.0,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,2.29,2.26,Normal,,4.2,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,2.60,2.85,Normal,,2,4.5,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,4.00,3.95,Normal,,3.0,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.64,2.77,Normal,,2,1.3,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,5.22,5.20,Minor Flood,Falling,1,7.4,
