River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 pm","Water
Level at
6:00 pm",Remarks,"Water Level
Rising or
Falling","9 Hr RF in
mm at 6:00
pm",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.05,3.05,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.24,5.07,Normal,,0.0,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.22,12.20,Normal,,7.5,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.26,2.36,Normal,,1.2,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.66,1.62,Normal,,0.0,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.91,0.97,Normal,,9.5,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.25,1.24,Normal,,0.5,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.56,1.55,Normal,,0.0,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.90,7.88,Normal,,8.3,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,3.50,3.44,Normal,,1.1,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.50,1.50,Normal,,0.0,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,3.46,3.43,Normal,,0.0,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.33,1.32,Normal,,0.0,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,1.70,1.69,Normal,,0.0,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.45,1.45,Alert,,0.0,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.65,4.60,Normal,,0.0,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.39,1.39,Normal,,0.0,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.99,0.98,Normal,,0.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,4.45,4.47,Normal,,0.3,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,6.05,6.05,Minor Flood,,0.0,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,7.46,7.17,Minor Flood,Falling,0.0,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,4.05,3.95,Normal,,9.5,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.12,3.06,Normal,,0.0,
