River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.90,2.85,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.36,4.30,Normal,,0.0,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.00,11.89,Normal,,10.8,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.99,1.98,Normal,,8.8,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.73,1.70,Normal,,1,9.6,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.87,0.90,Normal,,7.9,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.31,1.29,Normal,,0.5,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.66,1.67,Normal,,0.0,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.70,7.66,Normal,,31.4,,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,3.12,3.05,Normal,,3.3,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.76,1.87,Normal,,0.0,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.57,4.58,Normal,,0.0,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.30,1.32,Normal,,0.0,,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,1.85,1.83,Normal,,0.0,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.32,1.32,Normal,,0.0,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.34,4.31,Normal,,0.0,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.29,1.30,Normal,,0.0,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.94,0.93,Normal,,0.0,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,1.83,1.82,Alert,Falling,0.0,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,2.02,2.01,Normal,,1.3,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.44,1.44,Normal,,0.5,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,2.35,2.33,Normal,,0.5,,,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,2.76,2.75,Normal,,0.0,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.85,1.81,Normal,,1,6.7,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.86,0.86,Normal,,0.0,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,1.14,1.12,Normal,,26.,,4,
,,Manampitiya ( Old),m,3.50,5.00,6.00,0.41,0.46,Normal,,8.9,,,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,1.55,1.60,Normal,,0.0,,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-1.87,-1.91,Normal,,4.0,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.70,3.76,Normal,,9.7,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.50,1.50,Normal,,0.0,,,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.90,0.89,Normal,,1,7.8,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,4.41,4.30,Normal,,4.9,,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,1.04,1.03,Normal,,0.5,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,5.20,5.16,Alert,Falling,0.3,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,4.35,4.28,Normal,,2.0,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,6.10,6.10,Minor Flood,,6.2,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,6.43,6.48,Minor Flood,Rising,5.1,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,5.43,5.10,Normal,,44.5,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.81,3.82,Alert,Rising,2,0.2,,
