River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 am","Water
Level at
6.00 am",Remarks,"Water Level 2
Rising or i
Falling","1 Hr RF
n mm at
6.00 am"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.80,3.70,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,6.89,6.87,Normal,,84.0
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,14.53,14.33,Normal,,108.6
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.05,2.05,Normal,,7.0
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.86,1.82,Normal,,119.9
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.13,1.10,Normal,,74.2
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.59,1.55,Alert,Falling,33.4
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.30,2.35,Normal,,165.8
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.53,8.53,Normal,,96.4
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,6.17,6.17,Alert,,49.9
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.56,4.55,Alert,Falling,40.8
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.46,5.56,Alert,Rising,40.6
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.29,3.32,Normal,,77.7
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,4.14,4.00,Alert,Falling,106.2
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.43,1.48,Alert,Rising,22.3
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.62,6.61,Minor Flood,Falling,87.9
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,3.52,3.36,Normal,,38.9
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,2.38,1.95,Normal,,26.2
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,5.65,5.23,Minor Flood,Falling,76.9
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,4.04,4.14,Normal,,13.8
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,4.96,4.98,Alert,Rising,31.2
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,5.90,5.79,Alert,Falling,33.8
,Maha Oya,Giriulla,m,5.50,6.50,7.50,4.55,4.35,Normal,,63.3
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,5.55,5.59,Major Flood,Rising,44.1
