River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 pm","Water
Level at
6.00 pm",Remarks,"Water
Level
Rising or
Falling","9 Hr RF in
mm at
6.00 pm",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.20,2.20,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.07,4.05,Normal,,4.8,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.30,11.55,Normal,,,12.4,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.99,1.99,Normal,,0.0,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.07,1.05,Normal,,0.0,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.87,0.94,Normal,,0.4,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.21,1.20,Normal,,2.2,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.55,2.55,Normal,,4.5,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.46,8.40,Normal,,42.3,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,3.50,3.44,Normal,,1.9,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.73,2.88,Normal,,5.3,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.99,5.97,Alert,Falling,52.7,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.11,3.09,Normal,,4.9,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.06,2.17,Normal,,,15.4,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.71,1.71,Minor Flood,,2.6,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.30,5.26,Alert,Falling,0.0,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.48,1.46,Normal,,0.0,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.08,1.07,Normal,,0.0,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,3.47,3.46,Alert,Falling,0.0,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,3.51,3.48,Normal,,0.0,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,2.78,2.72,Normal,,0.0,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.58,3.56,Normal,,0.0,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.40,2.38,Normal,,0.0,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.51,4.47,Minor Flood,Falling,2.4,,
