River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 pm","Water
Level at
6:00 pm",Remarks,"Water Level
Rising or
Falling","09 Hr RF
in mm at
6.00 P.M",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.50,1.20,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.68,2.63,Normal,,0.0,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.18,10.16,Normal,,0.0,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.00,1.97,Normal,,0.0,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.79,0.79,Normal,,0.0,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.70,0.74,Normal,,0.0,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.87,0.87,Normal,,0.0,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.33,2.31,Normal,,1.0,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.90,6.82,Normal,,0.0,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.34,2.27,Normal,,0.1,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,5.43,5.40,Alert,Falling,,11.2
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.38,7.41,Minor Flood,Rising,5.2,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.02,4.04,Minor Flood,Rising,3.5,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.94,3.44,Normal,,44.5,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.10,2.12,Minor Flood,Rising,0.0,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.75,6.68,Minor Flood,Falling,0.0,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.90,1.86,Normal,,0.0,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.27,1.25,Normal,,0.0,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,2.77,2.40,Normal,,0.0,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,3.34,3.26,Normal,,0.0,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.82,2.80,Normal,,0.0,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.55,1.54,Normal,,0.0,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.88,1.86,Normal,,0.0,
