River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.50,1.40,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,1.08,1.08,Normal,,2.5,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,9.35,9.34,Normal,,0.0,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.70,1.66,Normal,,0.0,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.58,0.58,Normal,,0.0,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.50,0.45,Normal,,0.7,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.68,0.66,Normal,,0.0,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.63,0.65,Normal,,0.0,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.08,6.19,Normal,,0.0,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.23,4.12,Normal,,1.1,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.20,1.20,Normal,,0.0,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,2.10,2.27,Normal,,0.0,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.92,1.95,Normal,,0.8,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.20,2.15,Normal,,0.0,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.30,1.31,Normal,,8.1,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.47,5.41,Alert,Falling,84.9,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.50,1.45,Normal,,60.9,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.90,0.87,Normal,,1.0,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,2.79,3.00,Alert,Rising,5.5,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,1.51,1.50,Normal,,0.0,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.13,1.13,Normal,,2.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.95,1.92,Normal,,0.0,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.89,0.90,Normal,,0.0,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.88,1.87,Normal,,0.9,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,1.21,1.21,Normal,,0.0,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,1.15,1.14,Normal,,0.0,
,,Manampitiya ( Old),m,3.50,5.00,6.00,1.81,1.83,Normal,,0.0,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,2.95,2.97,Normal,,0.0,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-0.23,-0.27,Normal,,3.8,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.65,2.68,Normal,,0.0,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,0.97,0.97,Normal,,0.0,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,1.12,1.11,Normal,,0.0,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,2.96,2.90,Normal,,0.0,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.70,0.70,Normal,,0.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,3.33,3.33,Normal,,0.0,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.54,0.54,Normal,,0.0,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,1.39,1.50,Normal,,0.0,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.37,2.36,Normal,,0.0,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.21,1.21,Normal,,0.0,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,0.96,0.96,Normal,,0.0,
