River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.00,0.80,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,1.46,1.43,Normal,,0.0,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,9.57,9.52,Normal,,0.0,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.70,1.60,Normal,,0.5,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.60,0.60,Normal,,0.0,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.50,0.55,Normal,,1.0,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.79,0.78,Normal,,11.4,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.51,0.43,Normal,,0.3,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.13,5.13,Normal,,2.7,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,1.67,1.64,Normal,,4.4,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.59,1.58,Normal,,1.2,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,2.20,2.15,Normal,,0.0,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.68,1.65,Normal,,3.2,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,1.83,1.80,Normal,,3.8,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.39,1.39,Normal,,18.9,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.40,4.40,Normal,,12.6,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.25,1.23,Normal,,9.9,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.69,0.68,Normal,,11.0,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,3.06,3.02,Alert,Falling,,35.2,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,2.57,2.49,Normal,,6.8,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.49,1.47,Normal,,,37.4,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,2.92,2.86,Normal,,,30.8,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,4.68,4.64,Minor Flood,Falling,57.,,8
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,2.86,2.78,Normal,,,45.0,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,3.14,3.03,Normal,,70.,,3
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,2.02,1.98,Normal,,107.9,,
,,Manampitiya ( Old),m,3.50,5.00,6.00,4.04,4.02,Alert,Falling,61.,,2
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,5.18,5.16,Alert,Falling,61.,,2
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,0.33,0.25,Normal,,62.,,7
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.79,1.99,Normal,,5.2,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.01,1.02,Normal,,1.6,,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,1.55,1.53,Normal,,,33.0,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,6.43,6.43,Alert,,7.3,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,1.48,1.61,Normal,,7.9,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,5.02,5.12,Alert,Rising,6.4,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,4.57,4.69,Normal,,58.,,6
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,2.18,2.19,Normal,,9.0,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.46,2.45,Normal,,0.0,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.28,1.28,Normal,,0.0,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.37,1.36,Normal,,0.0,,
