River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
05:00 am","Water
Level at
06:00 am",Remarks,"Water
2
Level
i
Rising or
0
Falling","1 Hr RF
n mm at
6.00 am"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.00,3.00,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.46,5.37,Normal,,60.1
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.35,12.23,Normal,,28.7
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.62,1.65,Normal,,20.7
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.45,1.30,Normal,,36.1
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.26,1.22,Normal,,41.2
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.85,0.85,Normal,,22.5
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.11,3.12,Alert,Rising,2.2
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.45,8.45,Normal,,14.8
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.23,4.17,Normal,,17.3
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.40,4.39,Alert,Falling,19.0
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.57,7.57,Minor Flood,,20.1
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.96,3.96,Alert,,22.3
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.70,2.80,Normal,,38.3
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.53,1.51,Alert,Falling,17.9
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.18,5.18,Alert,,23.0
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.48,1.48,Normal,,10.8
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.79,0.75,Normal,,21.0
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.27,1.25,Normal,,1.4
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.59,0.58,Normal,,1.1
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.82,0.82,Normal,,0.0
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.30,1.30,Normal,,1.6
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.14,-0.15,Normal,,22.9
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.91,0.91,Normal,,0.0
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.57,0.57,Normal,,0.0
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.45,0.45,Normal,,0.0
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,0.45,0.52,Normal,,0.0
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.43,-2.43,Normal,,0.0
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.00,1.99,Normal,,7.2
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.40,1.37,Normal,,35.1
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.45,0.45,Normal,,0.3
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.96,1.96,Normal,,4.0
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.55,0.55,Normal,,0.0
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.68,1.67,Normal,,0.0
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,2.94,2.89,Normal,,9.0
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,3.63,3.62,Normal,,27.0
,Maha Oya,Giriulla,m,5.50,6.50,7.50,2.58,2.58,Normal,,24.2
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.54,4.50,Minor Flood,Falling,30.0
