River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11.00 pm","Water
Level at
12:00
midnight",Remarks,"Water Level
Rising or
Falling","15 Hr RF
in mm at
12:00
midnight",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.60,3.60,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,6.25,6.18,Normal,,1.8,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,13.28,13.25,Normal,,,15.5,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.82,1.82,Normal,,,18.6,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,2.90,2.86,Normal,,39.8,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.60,1.65,Normal,,,22.9,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.26,1.26,Normal,,,19.0,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.13,3.13,Alert,,,6.5,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.67,8.70,Normal,,,15.0,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.86,4.88,Normal,,,11.2,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.03,4.00,Alert,Falling,0.0,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.35,7.36,Minor Flood,Rising,,6.8,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.65,3.63,Alert,Falling,0.8,,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.71,2.69,Normal,,,6.2,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.50,1.50,Alert,,0.6,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.96,4.93,Normal,,1.2,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.59,1.57,Normal,,2.2,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.79,0.79,Normal,,,9.5,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.23,1.23,Normal,,0.5,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.58,0.58,Normal,,0.0,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.80,0.80,Normal,,0.0,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.31,1.31,Normal,,0.0,,,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.23,-0.23,Normal,,0.4,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.82,0.82,Normal,,0.0,,,
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,0.65,0.62,Normal,,0.0,,,
Mahaweli Ganga,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.13,-2.08,Normal,,0.0,,,
(RB 60),Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.80,2.76,Normal,,,13.2,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.89,2.00,Normal,,,20.6,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.72,1.72,Normal,,0.0,,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.54,0.54,Normal,,0.0,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,4.44,4.48,Normal,,,17.4,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,4.10,4.07,Normal,,,22.2,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,3.23,3.26,Normal,,28.1,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,5.08,5.10,Minor Flood,Rising,33.0,,,
