River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 pm","Water
Level at
9:00 pm",Remarks,"Water
Level
Rising or
Falling","12 Hr RF
in mm at
9.00 pm"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.60,3.50,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.44,5.47,Normal,,12.0
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.80,12.89,Normal,,21.4
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.85,1.83,Normal,,20.8
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.88,1.85,Normal,,34.8
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.73,1.84,Normal,,21.8
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.41,1.46,Normal,,30.9
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.07,3.07,Alert,,13.5
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.60,8.60,Normal,,25.9
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.35,4.35,Normal,,10.6
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.03,3.05,Normal,,2.1
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.01,6.99,Minor Flood,Falling,19.2
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.32,3.31,Normal,,11.9
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.84,2.86,Normal,,12.6
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.32,1.33,Normal,,3.7
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.96,5.03,Alert,Rising,14.9
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.98,2.04,Normal,,23.4
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.33,1.35,Normal,,29.2
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.21,1.21,Normal,,6.2
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.54,0.54,Normal,,3.2
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.78,0.78,Normal,,2.2
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.32,1.31,Normal,,2.6
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.16,-0.16,Normal,,8.5
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.79,0.79,Normal,,0.0
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.49,0.49,Normal,,0.0
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.39,0.39,Normal,,0.0
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,0.68,0.75,Normal,,0.6
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.16,-2.05,Normal,,0.0
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.60,2.62,Normal,,11.1
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.98,2.00,Normal,,26.1
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.38,0.37,Normal,,0.0
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.78,1.78,Normal,,1.1
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.54,0.54,Normal,,1.9
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,3.75,3.90,Normal,,51.4
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.90,3.95,Normal,,47.7
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,3.14,3.17,Normal,,37.5
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,5.04,5.04,Minor Flood,,33.3
