River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 am","Water
Level at
3:00 am",Remarks,"Water Level
Rising or
Falling","18 Hr RF
in mm at
3.00 am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.50,3.40,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.65,5.67,Normal,,23.6,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,13.10,13.10,Normal,,49.3,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.90,1.75,Normal,,24.8,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.89,2.05,Normal,,40.7,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.70,1.64,Normal,,28.6,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.41,1.40,Normal,,37.2,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.06,3.05,Alert,Falling,19.2,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.52,8.50,Normal,,29.5,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.30,4.31,Normal,,11.0,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.20,3.23,Normal,,10.0,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.97,6.96,Minor Flood,Falling,19.2,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.29,3.28,Normal,,21.6,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.84,2.82,Normal,,19.2,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.33,1.33,Normal,,8.5,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.24,5.27,Alert,Rising,18.0,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.93,1.91,Normal,,23.4,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.23,1.24,Normal,,6.2,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.54,0.55,Normal,,6.6,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.77,0.77,Normal,,3.8,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.30,1.30,Normal,,4.3,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.16,-0.16,Normal,,9.3,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.78,0.78,Normal,,0.0,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.49,0.49,Normal,,0.0,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.42,0.42,Normal,,0.5,
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,0.81,0.78,Normal,,0.6,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-1.95,-2.00,Normal,,0.0,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.66,2.70,Normal,,15.3,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.97,1.96,Normal,,37.9,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.36,0.37,Normal,,0.0,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,4.78,4.96,Alert,Rising,51.4,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,4.03,4.03,Normal,,49.0,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,3.16,3.16,Normal,,39.2,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,5.02,5.00,Minor Flood,Falling,35.6,
