River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 am","Water
Level at
12:00
Noon",Remarks,"Water
3
Level
Rising or
1
Falling","Hr RF in
mm at
2.00 Noon",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.95,2.90,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.31,5.26,Normal,,4.2,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.55,12.53,Normal,,0.0,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.00,2.03,Normal,,7.5,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.24,1.23,Normal,,5.0,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,2.12,2.10,Normal,,5.0,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.23,1.22,Normal,,1.4,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.86,2.87,Normal,,0.0,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,9.03,9.03,Normal,,2.5,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,5.12,5.07,Normal,,2.8,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.99,3.98,Normal,,3.2,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.83,6.83,Minor Flood,,0.0,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.91,3.91,Alert,,0.0,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,3.08,3.14,Normal,,1.4,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.56,1.55,Alert,Falling,0.0,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.58,5.56,Alert,Falling,1.1,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.81,1.79,Normal,,0.0,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.07,1.07,Normal,,0.0,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.25,1.24,Normal,,0.0,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.35,0.35,Normal,,0.0,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.60,0.60,Normal,,0.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.30,1.30,Normal,,0.0,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.20,-0.20,Normal,,0.0,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.74,0.74,Normal,,0.0,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.44,0.44,Normal,,0.0,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.37,0.37,Normal,,0.0,
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,0.15,0.15,Normal,,0.0,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-3.09,-3.10,Normal,,0.0,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.87,2.85,Normal,,1.8,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,2.05,1.98,Normal,,0.3,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.28,0.29,Normal,,0.0,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.65,1.64,Normal,,0.0,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.50,0.50,Normal,,0.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.08,1.07,Normal,,0.0,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.37,0.36,Normal,,1.6,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,2.21,2.21,Normal,,2.2,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.15,3.15,Normal,,3.7,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.83,1.83,Normal,,0.0,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.92,2.89,Normal,,0.4,
