River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 pm","Water
Level at
6:00 pm",Remarks,"Water
Level
Rising or
Falling","9 Hr RF in
mm at 6.00
pm",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.40,3.30,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,6.20,6.24,Normal,,0.5,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,14.50,14.43,Normal,,0.0,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.45,2.55,Normal,,16.,,,0
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.83,1.70,Normal,,1.1,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,2.25,2.18,Normal,,,8.3,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.31,1.26,Normal,,,9.3,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.86,2.86,Normal,,0.6,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,9.01,9.01,Normal,,0.9,,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,6.21,6.06,Alert,Falling,0.3,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.25,4.24,Alert,Falling,0.0,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.61,6.60,Minor Flood,Falling,0.0,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.95,3.94,Alert,Falling,0.5,,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.85,2.79,Normal,,2.6,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.55,1.55,Alert,,0.0,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.82,5.75,Alert,Falling,0.0,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.78,1.75,Normal,,0.0,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.85,0.82,Normal,,0.0,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.09,1.08,Normal,,0.0,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.26,0.26,Normal,,0.0,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.60,0.60,Normal,,0.0,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.28,1.28,Normal,,0.0,,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.17,-0.17,Normal,,0.0,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.72,0.76,Normal,,26.9,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.45,0.44,Normal,,0.0,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.34,0.33,Normal,,0.0,,,
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,0.11,0.12,Normal,,0.0,,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-3.15,-3.14,Normal,,0.0,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,6.40,6.20,Alert,Falling,1,,2.7,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,2.96,2.86,Normal,,1,,2.6,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.27,0.26,Normal,,0.0,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.57,1.57,Normal,,0.0,,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.46,0.46,Normal,,0.0,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,0.97,0.97,Normal,,0.0,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.35,0.34,Normal,,0.0,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,1.70,1.69,Normal,,0.0,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,4.00,4.08,Normal,,0.0,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,3.67,3.73,Normal,,0.0,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.62,2.60,Normal,,0.0,,,
