River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 am","Water
Level at
12:00
noon",Remarks,"Water
Level
Rising or
Falling","3 Hr RF in
mm at
12.00 noon",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,5.20,5.30,Minor Flood,Rising,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,8.62,8.68,Minor Flood,Rising,40,.4
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,16.43,16.65,Minor Flood,Rising,88.8,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.99,2.15,Normal,,2.0,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.20,1.40,Normal,,14.3,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,2.71,3.45,Normal,,1.3,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.94,0.93,Normal,,0.0,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.94,4.00,Minor Flood,Rising,5.0,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,12.06,12.17,Minor Flood,Rising,51,.7
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,8.46,8.66,Minor Flood,Rising,47,.9
,Maguru Ganga,Magura,m,4.00,6.00,7.50,7.20,7.28,Minor Flood,Rising,9.7,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,8.95,9.15,Major Flood,Rising,6.8,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.29,4.32,Minor Flood,Rising,9.0,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,8.04,8.35,Major Flood,Rising,30.1,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.79,1.80,Minor Flood,Rising,6.3,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,7.39,7.45,Minor Flood,Rising,0.0,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,7.06,6.84,Major Flood,Falling,12.0,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,2.36,2.30,Normal,,9.8,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.19,1.17,Normal,,0.0,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.27,0.27,Normal,,0.0,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.61,0.60,Normal,,0.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.28,1.28,Normal,,0.0,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.23,-0.23,Normal,,0.3,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.82,0.82,Normal,,0.0,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.47,0.47,Normal,,0.0,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.35,0.35,Normal,,0.0,
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,0.20,0.20,Normal,,0.0,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-3.00,-3.02,Normal,,0.0,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.56,2.55,Normal,,0.0,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.59,1.57,Normal,,0.0,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.27,0.28,Normal,,0.0,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.52,1.52,Normal,,0.0,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.47,0.47,Normal,,0.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.05,1.07,Normal,,0.0,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.22,0.22,Normal,,0.0,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.75,0.75,Normal,,0.0,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.80,2.85,Normal,,0.2,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.75,1.90,Normal,,22.1,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.15,3.27,Normal,,40,.5
