River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 pm","Water
Level at
3:00 pm",Remarks,"Water
Level
Rising or
Falling","6 Hr RF in
mm at 3.00
pm",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,5.60,5.50,Minor Flood,Falling,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,8.88,8.96,Minor Flood,Rising,7,4.4,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,17.12,17.26,Minor Flood,Rising,133.2,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.19,2.15,Normal,,7.9,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.57,1.66,Normal,,35.6,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,3.70,4.83,Alert,Rising,21.0,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.95,1.00,Normal,,2.1,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,4.14,4.20,Minor Flood,Rising,22.7,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,12.35,12.38,Major Flood,Rising,6,6.5,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,8.96,9.04,Minor Flood,Rising,51.5,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,7.45,7.48,Minor Flood,Rising,11.4,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,9.55,9.75,Major Flood,Rising,18.3,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.37,4.41,Minor Flood,Rising,18.2,,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,8.75,8.90,Major Flood,Rising,38.0,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.86,1.90,Minor Flood,Rising,6.3,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,7.59,7.64,Major Flood,Rising,4.5,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,6.41,6.26,Minor Flood,Falling,12.7,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,2.36,2.48,Normal,,20.5,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.16,1.16,Normal,,0.0,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.27,0.27,Normal,,0.0,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.60,0.60,Normal,,0.0,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.40,1.45,Normal,,0.0,,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.23,-0.23,Normal,,0.7,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.82,0.82,Normal,,3.8,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.47,0.47,Normal,,0.0,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.36,0.37,Normal,,4.5,,,
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,0.20,0.20,Normal,,10.9,,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-3.03,-3.03,Normal,,0.0,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.53,2.52,Normal,,0.2,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.57,1.57,Normal,,0.9,,,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.28,0.28,Normal,,1.5,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.52,1.52,Normal,,2.2,,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.47,0.47,Normal,,0.0,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.10,1.12,Normal,,0.0,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.27,0.29,Normal,,37.8,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.74,0.74,Normal,,1.8,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.96,3.15,Normal,,29.1,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,3.33,3.92,Normal,,150.0,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.85,4.30,Alert,Rising,96.5,,,
