River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 pm","Water
Level at
6:00 pm",Remarks,"Water
9
Level
Rising or
Falling","Hr RF in
mm at 6.00
pm",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,6.00,5.90,Minor Flood,Falling,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,8.81,8.76,Minor Flood,Falling,0.0,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,14.93,14.80,Normal,,0.0,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.22,2.05,Normal,,3.4,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.80,1.71,Normal,,1.4,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,2.10,2.05,Normal,,0.0,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.98,0.95,Normal,,0.5,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,5.25,5.27,Major Flood,Rising,0.0,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,12.81,12.81,Major Flood,,1.6,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,8.13,8.08,Minor Flood,Falling,0.0,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,6.12,6.06,Minor Flood,Falling,0.0,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,11.36,11.36,Major Flood,,0.0,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,5.02,5.04,Major Flood,Rising,0.0,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,4.87,4.70,Alert,Falling,0.0,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,3.52,3.52,Major Flood,,0.6,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,NA,NA,-,-,-,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.74,2.57,Normal,,4.3,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.34,1.31,Normal,,0.9,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.60,1.60,Normal,,0.0,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.49,0.48,Normal,,0.0,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.74,0.74,Normal,,0.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.28,1.28,Normal,,0.0,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.27,-0.28,Normal,,0.0,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.89,0.88,Normal,,0.0,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.45,0.45,Normal,,0.0,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.41,0.41,Normal,,0.0,
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,0.47,0.45,Normal,,0.0,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.89,-2.90,Normal,,0.0,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.72,3.62,Normal,,0.0,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.77,1.74,Normal,,0.0,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.36,0.45,Normal,,0.0,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.51,1.52,Normal,,0.0,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.55,0.54,Normal,,0.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.19,1.20,Normal,,0.0,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.27,0.27,Normal,,0.8,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,1.35,1.35,Normal,,1.3,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,5.80,5.75,Alert,Falling,0.7,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,4.37,4.23,Normal,,0.8,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,6.02,6.01,Major Flood,Falling,0.0,
