River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
02:00 am","Water
Level at
03:00 am",Remarks,"Water
Level
Rising or
Falling","18 Hr RF
in mm at
03:00 am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.70,2.80,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.07,3.05,Normal,,16.8,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.60,10.62,Normal,,4.2,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.68,1.80,Normal,,9.2,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.69,0.69,Normal,,5.5,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.03,1.03,Normal,,14.3,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.84,0.87,Normal,,3.6,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.91,3.81,Alert,Falling,8.0,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.90,7.90,Normal,,32.,8
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,3.35,3.36,Normal,,3.9,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.87,2.85,Normal,,5.1,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.06,7.00,Minor Flood,Falling,7.3,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.97,3.95,Alert,Falling,27.2,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.79,2.82,Normal,,20.2,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.92,1.92,Minor Flood,,4.7,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.28,5.30,Alert,Rising,15.5,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.96,1.99,Normal,,9.2,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.56,1.62,Normal,,24.2,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.10,1.11,Normal,,8.4,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.42,0.42,Normal,,13.5,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.60,0.60,Normal,,3.6,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.35,1.35,Normal,,5.4,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.14,-0.13,Normal,,16.5,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.73,0.73,Normal,,0.0,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.38,0.37,Normal,,0.5,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.29,0.28,Normal,,0.8,
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,0.09,0.10,Normal,,0.0,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.57,-2.63,Normal,,2.3,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.40,2.30,Normal,,0.0,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.26,1.26,Normal,,1.9,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.28,0.28,Normal,,0.7,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.51,1.51,Normal,,0.0,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.48,0.48,Normal,,0.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.07,1.06,Normal,,0.0,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.69,0.67,Normal,,1.3,
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,2.68,2.70,Normal,,5.7,
,Maha Oya,Giriulla,m,5.50,6.50,7.50,1.45,1.46,Normal,,24.3,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.32,2.35,Normal,,51.3,
