River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.75,1.60,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.42,2.40,Normal,,20.2,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.30,10.26,Normal,,7.2,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.82,1.65,Normal,,17.4,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.68,0.68,Normal,,8.4,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.80,0.79,Normal,,13.0,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.71,0.71,Normal,,0.0,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.91,0.92,Normal,,5.0,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.65,5.64,Normal,,10.9,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,1.59,1.58,Normal,,0.3,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.99,2.10,Normal,,2.3,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,3.46,3.46,Normal,,0.0,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.71,1.66,Normal,,3.9,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,1.92,1.90,Normal,,11.0,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.96,0.96,Normal,,0.0,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.73,3.73,Normal,,0.0,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.12,1.11,Normal,,0.0,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.60,0.60,Normal,,0.5,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.99,0.99,Normal,,0.0,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.22,0.21,Normal,,0.0,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.58,0.58,Normal,,0.0,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.29,1.29,Normal,,0.0,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.19,-0.18,Normal,,0.0,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.69,0.69,Normal,,3.1,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.35,0.35,Normal,,0.0,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.26,0.26,Normal,,0.0,,
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,-0.05,-0.05,Normal,,0.0,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-3.05,-3.07,Normal,,0.0,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.69,1.80,Normal,,3.5,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.20,1.20,Normal,,16.1,,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.23,0.23,Normal,,0.0,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.49,1.49,Normal,,0.0,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.50,0.50,Normal,,0.0,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.05,1.04,Normal,,0.0,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.24,0.24,Normal,,0.0,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.58,0.58,Normal,,0.0,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.64,2.64,Normal,,5.2,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.37,1.36,Normal,,7.3,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.84,1.82,Normal,,9.1,,
