River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 am","Water
Level at
12:00
noon",Remarks,"Water
Level
Rising or
Falling","3 Hr RF in
mm at
12:00 noon"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.70,3.10,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.55,5.42,Normal,,0.0
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.66,12.41,Normal,,0.0
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.76,1.64,Normal,,0.0
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.54,1.49,Normal,,0.0
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.86,0.85,Normal,,0.0
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.12,1.10,Normal,,0.0
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.11,1.13,Normal,,0.0
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.25,6.19,Normal,,0.0
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,2.31,2.25,Normal,,0.0
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.79,1.79,Normal,,0.0
,Kuda Ganga,Kalawellawa (Millakanda),m,5.00,6.50,8.00,2.99,2.97,Normal,,0.0
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.00,1.99,Normal,,0.0
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.57,1.55,Normal,,1.2
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.45,0.46,Normal,,0.5
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,2.63,2.60,Normal,,0.8
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.57,0.57,Normal,,0.0
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.10,0.10,Normal,,0.0
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.80,0.80,Normal,,0.0
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.20,1.18,Normal,,0.0
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.29,1.29,Normal,,0.0
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.35,1.34,Normal,,0.0
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.03,-0.04,Normal,,0.0
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.89,0.88,Normal,,0.0
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.82,0.80,Normal,,0.0
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.77,0.75,Normal,,0.0
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,0.23,0.25,Normal,,0.0
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-2.99,-3.02,Normal,,0.0
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.80,2.70,Normal,,0.0
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.46,1.44,Normal,,2.5
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.55,0.54,Normal,,0.0
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.36,1.36,Normal,,0.0
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.60,0.60,Normal,,0.0
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,2.30,2.23,Normal,,0.0
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,1.75,1.67,Normal,,1.6
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,5.53,5.64,Alert,Rising,11.4
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,6.58,6.57,Minor Flood,Falling,0.0
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,4.97,4.69,Normal,,0.0
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.78,2.74,Normal,,0.0
