River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 pm","Water
Level at
9:00 pm",Remarks,"Water
1
Level
m
Rising or
Falling","2 hr RF in
m at 9:00
pm"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.00,2.00,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.58,3.58,Normal,,12.7
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.45,11.61,Normal,,14.5
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,2.00,1.98,Normal,,29.0
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.58,1.64,Normal,,11.1
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.73,1.59,Normal,,20.6
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.05,1.06,Normal,,5.7
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.17,2.17,Normal,,35.1
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.67,7.60,Normal,,25.2
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,2.67,2.71,Normal,,20.1
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.93,2.90,Normal,,18.2
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.78,4.80,Normal,,32.1
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.47,3.48,Normal,,10.7
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.81,1.85,Normal,,13.2
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.69,0.72,Normal,,10.4
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.57,3.54,Normal,,12.8
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.93,0.95,Normal,,7.4
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.20,0.20,Normal,,6.1
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.86,0.86,Normal,,3.1
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.41,1.39,Normal,,0.0
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.32,1.32,Normal,,0.0
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.49,1.48,Normal,,0.0
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.26,0.24,Normal,,0.0
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.82,1.68,Normal,,0.5
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.63,0.62,Normal,,0.0
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.45,0.44,Normal,,0.0
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,0.71,0.67,Normal,,0.0
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-1.90,-1.61,Normal,,0.0
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.20,3.45,Normal,,13.5
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.82,1.81,Normal,,14.9
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.56,0.52,Normal,,0.0
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.74,1.73,Normal,,0.8
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.85,0.84,Normal,,4.2
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,2.68,2.65,Normal,,14.3
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,4.32,4.08,Normal,,4.7
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,3.90,3.86,Normal,,23.5
,Maha Oya,Giriulla,m,5.50,6.50,7.50,2.77,2.73,Normal,,17.1
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.32,2.29,Normal,,11.2
