River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 pm","Water
Level at
12:00
midnight",Remarks,"Water 1
Level
Rising or
Falling","5 hr RF in
mm at
12:00
midnight",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.50,2.80,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.65,3.73,Normal,,12.7,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.91,12.01,Normal,,14.5,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.84,1.74,Normal,,29.0,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.60,1.53,Normal,,11.1,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.38,1.31,Normal,,20.6,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.06,1.05,Normal,,5.7,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.20,2.20,Normal,,39.1,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.50,7.48,Normal,,29.8,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,2.90,2.92,Normal,,20.1,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.80,2.74,Normal,,18.2,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.82,4.90,Normal,,36.1,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.48,3.45,Normal,,12.6,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.89,1.85,Normal,,20.0,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.70,0.70,Normal,,11.9,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.47,3.43,Normal,,14.3,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.02,1.06,Normal,,7.4,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.19,0.19,Normal,,6.1,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.86,0.86,Normal,,3.1,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.36,1.35,Normal,,0.0,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.31,1.31,Normal,,0.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.46,1.45,Normal,,0.0,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.21,0.19,Normal,,0.0,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.44,1.37,Normal,,0.5,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.62,0.61,Normal,,0.0,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.44,0.44,Normal,,0.0,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,0.58,0.55,Normal,,0.0,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-1.76,-1.70,Normal,,0.0,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.80,3.70,Normal,,13.5,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.75,1.73,Normal,,14.9,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.55,0.58,Normal,,0.0,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.72,1.71,Normal,,0.8,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,NA,NA,,,4.2,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,2.60,2.60,Normal,,14.3,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,3.52,3.16,Normal,,4.7,
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,3.78,3.74,Normal,,23.5,
,Maha Oya,Giriulla,m,5.50,6.50,7.50,2.71,2.71,Normal,,17.1,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.27,2.27,Normal,,11.2,
